id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,class_name
843,M,medium,medium,medium,medium,medium,medium,medium,medium_age
844,M,medium,medium,medium,medium,medium,medium,medium,young
845,M,medium,medium,medium,medium,medium,medium,medium,young
846,M,medium,medium,medium,medium,heavy,medium,medium,medium_age
847,F,medium,medium,medium,medium,medium,medium,medium,old_age
848,F,medium,medium,medium,medium,medium,medium,medium,medium_age
849,F,medium,medium,medium,medium,medium,medium,medium,young
850,M,medium,medium,medium,medium,medium,medium,medium,medium_age
851,F,medium,medium,medium,medium,medium,medium,medium,medium_age
852,M,medium,medium,medium,medium,heavy,medium,medium,medium_age
853,M,medium,medium,medium,heavy,heavy,heavy,medium,medium_age
854,M,medium,medium,medium,medium,medium,medium,medium,medium_age
855,M,medium,medium,medium,medium,medium,medium,medium,medium_age
856,F,medium,large,medium,medium,medium,medium,medium,medium_age
857,M,medium,large,high,heavy,heavy,heavy,heavy,medium_age
858,M,medium,medium,medium,heavy,heavy,medium,heavy,old_age
859,F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
860,F,large,large,high,heavy,heavy,heavy,heavy,young
861,F,large,large,high,heavy,heavy,heavy,medium,young
862,F,large,large,medium,heavy,heavy,heavy,heavy,old_age
863,M,large,large,high,heavy,heavy,heavy,heavy,old_age
864,F,large,large,medium,heavy,heavy,medium,heavy,medium_age
865,M,large,large,high,heavy,heavy,heavy,heavy,old_age
866,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
867,M,large,medium,high,heavy,medium,heavy,heavy,medium_age
868,F,large,large,high,heavy,heavy,heavy,medium,old_age
869,F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
870,M,large,large,medium,heavy,heavy,heavy,heavy,medium_age
871,M,large,large,high,heavy,heavy,heavy,heavy,old_age
872,F,large,large,high,heavy,heavy,heavy,heavy,old_age
873,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
874,F,large,large,medium,heavy,heavy,medium,heavy,old_age
875,F,large,large,high,heavy,heavy,heavy,heavy,old_age
876,M,large,large,high,heavy,heavy,heavy,heavy,old_age
877,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
878,F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
879,F,large,large,high,heavy,heavy,heavy,medium,medium_age
880,F,large,large,high,heavy,heavy,heavy,heavy,young
881,M,large,large,high,heavy,heavy,heavy,heavy,old_age
882,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
883,M,large,large,high,heavy,heavy,heavy,heavy,old_age
884,M,large,large,high,heavy,heavy,medium,heavy,old_age
885,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
886,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
887,F,large,large,high,heavy,heavy,heavy,heavy,old_age
888,F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
889,F,large,large,high,heavy,heavy,heavy,heavy,old_age
890,F,large,large,high,heavy,heavy,heavy,heavy,old_age
891,F,large,large,high,heavy,heavy,heavy,heavy,old_age
892,M,large,large,high,heavy,heavy,heavy,heavy,old_age
893,I,small,small,small,light,light,light,light,young
894,I,small,small,small,light,light,light,light,young
895,I,small,small,small,light,light,light,light,young
896,I,small,small,small,light,light,light,light,young
897,I,small,small,small,light,light,light,light,young
898,I,small,small,small,light,light,light,light,young
899,I,small,small,small,light,light,light,light,young
900,I,small,small,small,light,light,light,light,young
901,I,small,small,small,light,light,light,light,young
902,I,small,small,small,light,light,light,light,young
903,I,small,small,small,light,light,light,light,young
904,I,small,small,small,light,light,light,light,young
905,I,small,small,small,light,light,light,light,young
906,I,small,small,small,light,light,light,light,young
907,I,small,small,small,light,light,light,light,young
908,I,small,small,small,light,light,light,light,young
909,I,small,small,small,light,light,light,light,young
910,I,small,small,small,light,light,light,light,young
911,I,small,small,small,light,light,light,light,young
912,I,small,small,small,light,light,light,light,young
913,I,small,small,small,light,light,light,light,young
914,I,small,small,small,light,light,light,light,young
915,I,small,small,small,light,light,light,light,young
916,I,small,small,small,light,light,light,light,young
917,I,small,small,small,light,light,light,light,young
918,I,small,small,small,light,light,light,light,young
919,I,small,small,small,light,light,light,light,young
920,I,small,small,small,light,light,light,light,young
921,I,small,small,small,light,light,light,light,young
922,I,small,small,small,light,light,light,light,young
923,I,small,small,small,light,light,light,light,young
924,I,small,small,small,light,light,light,light,young
925,I,small,small,small,light,light,light,light,young
926,I,small,small,small,light,light,light,light,young
927,I,small,small,small,light,light,light,light,young
928,I,small,small,small,light,light,light,light,young
929,I,small,small,small,light,light,light,light,young
930,I,small,small,medium,light,light,light,light,young
931,I,small,small,small,light,light,light,light,young
932,F,small,small,small,light,light,light,light,young
933,I,small,small,medium,light,light,light,light,young
934,I,small,small,medium,light,light,medium,light,young
935,I,small,small,small,light,light,light,light,young
936,I,small,small,small,light,light,light,light,young
937,I,small,small,small,light,light,medium,light,young
938,I,small,small,medium,light,light,medium,light,young
939,I,small,small,small,light,light,light,light,young
940,I,small,small,small,light,light,light,light,young
941,I,small,small,small,light,light,light,light,young
942,I,small,small,small,light,light,light,light,young
943,I,small,small,small,light,medium,light,light,young
944,I,small,small,small,light,light,light,light,young
945,F,small,small,medium,light,light,light,light,young
946,M,small,small,small,medium,medium,medium,light,young
947,F,small,small,small,medium,medium,light,light,young
948,M,small,small,medium,light,light,medium,light,medium_age
949,F,small,small,small,medium,medium,light,light,young
950,M,small,small,small,medium,medium,light,medium,young
951,M,small,medium,medium,medium,medium,medium,light,young
952,M,small,small,small,light,light,light,light,young
953,M,small,small,small,medium,medium,light,light,young
954,F,medium,small,small,light,light,light,light,young
955,M,medium,medium,medium,medium,medium,medium,medium,young
956,M,medium,medium,medium,medium,medium,medium,light,young
957,M,medium,medium,medium,medium,medium,medium,light,young
958,M,medium,medium,medium,medium,medium,medium,light,young
959,I,medium,medium,small,medium,medium,light,light,young
960,M,medium,medium,medium,medium,medium,medium,light,young
961,M,medium,medium,medium,medium,medium,medium,medium,young
962,F,medium,medium,medium,medium,medium,medium,medium,medium_age
963,I,medium,medium,medium,medium,medium,medium,light,young
964,M,medium,medium,medium,medium,medium,medium,light,medium_age
965,I,medium,small,medium,medium,medium,medium,medium,young
966,M,medium,medium,medium,medium,medium,medium,medium,young
967,I,medium,small,small,medium,medium,medium,medium,young
968,I,medium,medium,medium,medium,medium,medium,medium,young
969,M,medium,medium,medium,medium,medium,medium,medium,young
970,M,medium,medium,medium,medium,medium,medium,medium,young
971,F,medium,medium,medium,medium,medium,medium,medium,young
972,M,medium,medium,medium,medium,medium,medium,light,young
973,F,medium,medium,medium,medium,medium,medium,medium,young
974,M,medium,medium,medium,medium,medium,medium,medium,old_age
975,F,medium,medium,medium,medium,medium,medium,medium,young
976,F,medium,medium,medium,medium,medium,heavy,medium,young
977,M,medium,medium,medium,medium,medium,medium,medium,young
978,F,medium,medium,medium,medium,medium,medium,medium,young
979,M,medium,medium,medium,medium,medium,medium,medium,young
980,M,medium,medium,medium,medium,medium,heavy,medium,young
981,F,medium,medium,medium,medium,heavy,medium,medium,medium_age
982,F,medium,medium,medium,medium,medium,medium,medium,medium_age
983,F,medium,medium,high,medium,heavy,medium,medium,medium_age
984,F,medium,medium,medium,medium,medium,medium,medium,young
985,M,medium,medium,medium,heavy,heavy,heavy,heavy,medium_age
986,M,medium,medium,medium,heavy,heavy,medium,heavy,medium_age
987,F,medium,medium,medium,heavy,heavy,heavy,medium,young
988,M,medium,medium,medium,heavy,heavy,medium,medium,young
989,M,medium,medium,high,medium,medium,medium,medium,young
990,M,medium,large,high,heavy,heavy,heavy,medium,medium_age
991,F,medium,medium,high,heavy,heavy,medium,medium,medium_age
992,F,medium,medium,medium,heavy,heavy,heavy,medium,young
993,F,medium,medium,high,heavy,medium,heavy,medium,young
994,M,medium,medium,medium,medium,heavy,medium,medium,medium_age
995,F,medium,medium,medium,heavy,heavy,medium,medium,young
996,M,medium,large,medium,heavy,heavy,heavy,medium,medium_age
997,M,medium,large,medium,heavy,heavy,heavy,medium,old_age
998,M,medium,large,high,heavy,heavy,heavy,heavy,young
999,F,medium,medium,medium,heavy,heavy,heavy,medium,young
1000,F,large,large,medium,heavy,heavy,medium,light,old_age
1001,F,large,medium,medium,heavy,heavy,medium,medium,old_age
1002,M,large,large,high,heavy,heavy,heavy,medium,medium_age
1003,F,large,medium,medium,medium,heavy,medium,medium,medium_age
1004,M,large,medium,medium,heavy,heavy,medium,medium,medium_age
1005,F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
1006,M,large,large,medium,heavy,heavy,heavy,medium,medium_age
1007,M,large,large,high,heavy,heavy,heavy,medium,old_age
1008,M,large,large,medium,heavy,heavy,heavy,heavy,old_age
1009,M,large,large,medium,heavy,heavy,heavy,heavy,medium_age
1010,F,large,large,high,heavy,heavy,heavy,heavy,young
1011,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1012,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1013,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1014,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1015,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1016,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1017,M,large,large,medium,heavy,heavy,heavy,heavy,young
1018,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1019,M,large,large,medium,heavy,heavy,heavy,heavy,young
1020,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1021,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1022,M,large,large,medium,heavy,heavy,heavy,heavy,medium_age
1023,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1024,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1025,F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
1026,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1027,M,large,large,high,heavy,heavy,heavy,heavy,young
1028,F,large,large,high,heavy,heavy,heavy,heavy,young
1029,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1030,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1031,F,large,large,medium,heavy,heavy,medium,heavy,medium_age
1032,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1033,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1034,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1035,F,large,medium,high,heavy,heavy,heavy,medium,medium_age
1036,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1037,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1038,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1039,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1040,F,large,large,high,heavy,heavy,heavy,heavy,young
1041,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1042,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1043,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1044,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1045,M,large,large,high,heavy,heavy,heavy,heavy,young
1046,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1047,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1048,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1049,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1050,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1051,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1052,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1053,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1054,I,small,small,small,light,light,light,light,young
1055,I,small,small,small,light,light,light,light,young
1056,I,small,small,small,light,light,light,light,young
1057,I,small,small,small,light,light,light,light,young
1058,I,small,small,small,light,light,light,light,young
1059,I,small,small,small,light,light,light,light,young
1060,I,small,small,small,light,light,light,light,young
1061,I,small,small,small,light,light,light,light,young
1062,I,small,small,small,light,light,light,light,young
1063,I,small,small,small,light,light,light,light,young
1064,I,small,small,small,light,light,light,light,young
1065,I,small,small,small,light,light,light,light,young
1066,I,small,small,small,light,light,light,light,young
1067,I,small,small,small,light,light,light,light,young
1068,I,small,small,small,light,light,light,light,young
1069,I,small,small,small,light,light,light,light,young
1070,I,small,small,small,light,light,light,light,young
1071,I,small,small,small,light,light,light,light,young
1072,I,small,small,small,light,light,light,light,young
1073,I,small,small,small,light,light,light,light,young
1074,I,small,small,small,light,light,light,light,young
1075,I,small,small,small,light,light,light,light,young
1076,I,small,small,small,light,light,light,light,young
1077,I,small,small,small,light,light,light,light,young
1078,I,small,small,small,light,light,light,light,young
1079,I,small,small,small,light,light,light,light,young
1080,I,small,small,small,light,light,light,light,young
1081,M,small,small,small,light,light,light,light,young
1082,I,small,small,small,light,light,light,light,young
1083,I,small,small,small,light,light,light,light,young
1084,I,small,small,small,light,light,light,light,young
1085,I,small,small,small,light,light,light,light,young
1086,I,small,small,medium,light,light,light,light,young
1087,I,small,small,small,light,light,light,light,young
1088,I,small,small,medium,light,light,light,light,young
1089,I,small,small,small,light,medium,light,light,young
1090,I,small,small,small,light,light,light,light,young
1091,I,small,small,small,light,light,light,light,young
1092,I,small,small,small,light,light,light,light,young
1093,I,small,small,small,light,light,light,light,young
1094,M,small,small,small,light,medium,medium,light,young
1095,I,small,medium,medium,light,light,light,light,young
1096,I,small,small,small,light,light,light,light,young
1097,I,small,small,small,light,light,light,light,young
1098,I,small,medium,medium,medium,medium,light,medium,young
1099,M,medium,large,medium,light,light,medium,light,young
1100,I,medium,small,medium,light,medium,light,light,young
1101,I,medium,small,small,light,light,light,medium,medium_age
1102,I,medium,medium,medium,light,medium,light,light,young
1103,M,medium,medium,medium,light,medium,light,light,young
1104,F,medium,medium,medium,light,medium,medium,light,young
1105,I,medium,medium,medium,medium,medium,medium,medium,young
1106,F,medium,medium,medium,light,medium,light,light,young
1107,I,medium,medium,medium,medium,medium,medium,light,medium_age
1108,I,medium,medium,small,light,light,light,medium,young
1109,I,medium,medium,medium,medium,medium,medium,light,young
1110,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1111,I,medium,medium,medium,light,light,medium,light,young
1112,I,medium,medium,medium,light,medium,medium,medium,young
1113,F,medium,medium,medium,medium,heavy,medium,medium,young
1114,I,medium,medium,medium,medium,medium,medium,medium,young
1115,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1116,M,medium,medium,small,medium,medium,medium,medium,medium_age
1117,I,medium,medium,small,medium,medium,medium,light,young
1118,I,medium,medium,medium,medium,medium,medium,medium,young
1119,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1120,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1121,M,medium,medium,medium,medium,medium,medium,light,young
1122,M,medium,medium,small,medium,medium,medium,medium,medium_age
1123,M,medium,medium,medium,medium,heavy,medium,medium,medium_age
1124,F,medium,medium,medium,medium,medium,medium,medium,young
1125,F,medium,medium,medium,medium,medium,medium,medium,young
1126,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1127,M,medium,medium,medium,medium,heavy,medium,medium,medium_age
1128,M,medium,medium,high,medium,medium,medium,medium,young
1129,F,medium,medium,medium,medium,medium,medium,medium,young
1130,M,medium,medium,medium,medium,medium,medium,medium,young
1131,M,medium,medium,medium,medium,heavy,heavy,medium,medium_age
1132,M,medium,medium,medium,medium,heavy,medium,medium,young
1133,F,medium,medium,high,medium,heavy,heavy,medium,medium_age
1134,M,medium,medium,medium,heavy,heavy,medium,medium,medium_age
1135,F,medium,medium,medium,medium,medium,medium,medium,young
1136,I,medium,medium,medium,medium,medium,medium,medium,young
1137,F,medium,medium,medium,medium,heavy,heavy,medium,young
1138,F,medium,medium,high,heavy,heavy,medium,medium,medium_age
1139,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1140,F,medium,large,high,medium,medium,medium,medium,medium_age
1141,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1142,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1143,M,medium,medium,high,medium,heavy,medium,medium,medium_age
1144,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1145,M,medium,medium,medium,heavy,heavy,medium,medium,young
1146,M,medium,medium,high,heavy,heavy,heavy,heavy,medium_age
1147,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1148,M,medium,medium,medium,medium,heavy,medium,medium,medium_age
1149,M,medium,medium,medium,medium,heavy,medium,medium,young
1150,F,medium,medium,medium,medium,medium,heavy,medium,medium_age
1151,M,medium,medium,medium,medium,heavy,medium,medium,medium_age
1152,M,medium,large,high,medium,heavy,heavy,medium,young
1153,M,medium,large,medium,medium,heavy,heavy,medium,young
1154,F,large,large,high,medium,heavy,heavy,medium,medium_age
1155,M,large,medium,high,heavy,heavy,heavy,medium,young
1156,F,large,large,medium,heavy,heavy,heavy,medium,young
1157,M,large,large,medium,medium,heavy,heavy,medium,medium_age
1158,F,large,large,high,heavy,heavy,heavy,medium,medium_age
1159,M,large,large,medium,heavy,heavy,heavy,medium,medium_age
1160,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1161,F,large,large,high,heavy,medium,medium,heavy,medium_age
1162,M,large,large,high,medium,heavy,medium,medium,young
1163,M,large,large,medium,heavy,heavy,heavy,medium,medium_age
1164,M,large,large,high,heavy,heavy,heavy,medium,medium_age
1165,M,large,medium,high,heavy,heavy,heavy,medium,medium_age
1166,F,large,large,medium,medium,heavy,medium,medium,medium_age
1167,F,large,large,medium,medium,heavy,heavy,medium,medium_age
1168,M,large,large,medium,medium,heavy,medium,medium,young
1169,M,large,medium,high,medium,medium,medium,medium,young
1170,F,large,large,high,heavy,heavy,heavy,medium,young
1171,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1172,M,large,large,high,heavy,heavy,heavy,medium,young
1173,M,large,large,medium,heavy,heavy,medium,medium,young
1174,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1175,F,large,large,small,heavy,heavy,heavy,medium,medium_age
1176,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1177,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1178,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1179,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1180,M,large,large,medium,heavy,heavy,heavy,heavy,old_age
1181,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1182,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1183,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1184,M,large,large,high,heavy,heavy,heavy,heavy,young
1185,I,large,large,high,heavy,heavy,heavy,heavy,medium_age
1186,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1187,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1188,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1189,F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
1190,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1191,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1192,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1193,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1194,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1195,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1196,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1197,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1198,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1199,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1200,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1201,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
1202,M,large,large,medium,heavy,heavy,medium,medium,young
1203,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1204,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1205,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1206,M,large,large,high,heavy,heavy,heavy,heavy,old_age
1207,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1208,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1209,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1210,F,large,large,high,heavy,heavy,heavy,heavy,old_age
1211,I,small,small,small,light,light,light,light,young
1212,I,small,small,small,light,light,light,light,young
1213,I,small,small,small,light,light,light,light,young
1214,I,small,small,small,light,light,light,light,young
1215,I,small,small,small,light,light,light,light,young
1216,I,small,small,small,light,light,light,light,young
1217,I,small,small,small,light,medium,light,light,young
1218,I,small,small,small,light,light,light,light,young
1219,I,small,small,small,light,light,light,light,young
1220,I,small,small,small,light,light,light,light,young
1221,I,small,small,small,light,light,light,light,young
1222,I,small,small,small,light,light,light,light,young
1223,I,small,small,small,light,light,light,light,young
1224,I,small,small,small,light,light,light,light,young
1225,I,small,small,small,light,light,light,light,young
1226,I,small,small,small,light,light,light,light,young
1227,I,small,small,small,light,light,light,light,young
1228,I,small,small,small,light,light,light,light,young
1229,I,small,small,small,light,light,light,light,young
1230,I,small,small,small,light,light,light,light,young
1231,I,small,small,small,light,light,light,light,young
1232,I,small,small,small,light,light,light,light,young
1233,I,small,small,small,light,light,light,light,young
1234,I,small,small,small,light,light,light,light,young
1235,I,small,small,small,light,light,light,light,young
1236,I,small,small,small,light,light,light,light,young
1237,I,small,small,small,light,light,light,light,young
1238,I,small,small,small,light,light,light,light,young
1239,I,small,small,small,light,light,light,light,young
1240,I,small,small,small,light,light,light,light,young
1241,I,small,small,small,light,light,light,light,young
1242,I,small,small,small,light,light,light,light,young
1243,I,small,small,small,light,light,light,light,medium_age
1244,I,small,small,small,light,light,light,light,young
1245,I,small,small,small,light,light,light,light,young
1246,I,small,small,small,light,light,light,light,young
1247,I,small,small,small,light,light,light,light,young
1248,I,small,small,small,light,light,light,light,young
1249,I,small,small,small,light,light,light,light,young
1250,I,small,small,small,light,light,light,light,young
1251,I,small,small,small,light,light,light,light,young
1252,I,small,small,small,light,light,light,light,young
1253,I,small,small,small,light,light,light,medium,young
1254,I,small,small,small,light,light,light,light,young
1255,I,small,small,small,light,light,light,light,young
1256,I,small,small,small,light,light,light,light,young
1257,I,small,small,small,light,light,light,light,young
1258,I,small,small,small,light,light,light,light,young
1259,I,small,small,small,light,light,light,light,young
1260,I,small,small,small,light,light,light,light,young
1261,I,small,small,small,light,light,light,light,medium_age
1262,I,small,small,small,light,light,light,light,medium_age
1263,I,small,small,small,light,light,light,light,young
1264,F,small,small,small,light,light,light,light,young
1265,I,small,small,small,light,medium,light,light,young
1266,I,small,small,small,light,light,light,light,young
1267,I,small,small,small,light,light,light,light,medium_age
1268,F,small,small,medium,light,light,light,light,young
1269,I,small,small,small,light,light,light,light,old_age
1270,I,small,small,small,light,light,light,light,young
1271,I,small,small,high,light,light,light,light,young
1272,I,small,small,small,light,light,light,light,young
1273,I,small,small,small,light,medium,light,light,young
1274,I,small,medium,small,light,light,light,light,young
1275,I,small,small,small,light,light,light,light,young
1276,I,small,small,medium,light,medium,light,medium,medium_age
1277,I,small,small,small,light,light,light,light,young
1278,I,small,small,small,light,light,light,light,young
1279,I,medium,small,small,light,light,light,light,young
1280,I,medium,medium,medium,light,light,light,light,young
1281,M,medium,medium,small,light,light,medium,medium,young
1282,I,medium,medium,medium,medium,medium,light,light,medium_age
1283,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1284,I,medium,small,medium,medium,medium,medium,medium,medium_age
1285,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1286,I,medium,small,medium,medium,medium,medium,light,young
1287,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1288,I,medium,medium,medium,medium,medium,light,medium,young
1289,I,medium,medium,small,medium,medium,medium,medium,young
1290,I,medium,medium,small,light,medium,light,medium,young
1291,I,medium,medium,small,medium,medium,medium,light,young
1292,I,medium,medium,medium,medium,medium,medium,medium,old_age
1293,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1294,I,medium,medium,medium,medium,light,medium,medium,medium_age
1295,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1296,I,medium,medium,medium,medium,medium,medium,light,medium_age
1297,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1298,I,medium,medium,medium,medium,medium,light,medium,medium_age
1299,I,medium,medium,medium,medium,heavy,light,medium,medium_age
1300,I,medium,medium,small,medium,medium,medium,medium,medium_age
1301,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1302,I,medium,medium,medium,medium,medium,medium,light,medium_age
1303,I,medium,medium,medium,medium,medium,medium,medium,young
1304,F,medium,medium,medium,medium,medium,medium,medium,medium_age
1305,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1306,F,medium,medium,medium,medium,medium,medium,medium,medium_age
1307,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1308,I,medium,medium,medium,medium,medium,medium,medium,young
1309,F,medium,medium,medium,medium,medium,medium,medium,medium_age
1310,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1311,I,medium,medium,medium,medium,medium,light,medium,young
1312,I,medium,medium,medium,medium,medium,medium,medium,old_age
1313,F,medium,medium,medium,medium,medium,medium,medium,medium_age
1314,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1315,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1316,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1317,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1318,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1319,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1320,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1321,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1322,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1323,F,medium,medium,medium,heavy,heavy,heavy,medium,medium_age
1324,I,medium,medium,medium,medium,heavy,medium,medium,medium_age
1325,I,medium,medium,high,medium,medium,medium,medium,old_age
1326,F,medium,medium,medium,medium,medium,medium,medium,young
1327,M,medium,medium,medium,medium,medium,medium,medium,young
1328,M,medium,medium,medium,medium,medium,medium,medium,old_age
1329,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1330,I,medium,medium,medium,medium,medium,medium,medium,young
1331,F,medium,medium,medium,medium,medium,heavy,medium,medium_age
1332,M,medium,medium,high,medium,medium,medium,medium,medium_age
1333,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1334,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1335,F,medium,medium,medium,medium,heavy,medium,medium,medium_age
1336,F,medium,large,high,heavy,heavy,medium,heavy,medium_age
1337,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1338,M,medium,medium,medium,heavy,heavy,heavy,heavy,medium_age
1339,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1340,F,medium,medium,medium,medium,medium,medium,medium,young
1341,M,medium,large,medium,medium,heavy,medium,medium,medium_age
1342,M,medium,large,high,heavy,heavy,heavy,heavy,medium_age
1343,I,medium,large,high,heavy,heavy,heavy,medium,medium_age
1344,M,medium,medium,high,heavy,heavy,heavy,medium,medium_age
1345,M,medium,large,high,heavy,heavy,heavy,heavy,medium_age
1346,M,medium,large,medium,heavy,heavy,medium,medium,medium_age
1347,M,medium,medium,high,medium,medium,medium,medium,young
1348,I,medium,medium,medium,medium,medium,medium,medium,medium_age
1349,M,medium,large,high,heavy,heavy,heavy,heavy,medium_age
1350,M,medium,medium,medium,medium,medium,medium,medium,medium_age
1351,F,large,large,medium,medium,medium,medium,medium,medium_age
1352,F,large,large,medium,medium,heavy,light,heavy,old_age
1353,M,large,large,high,heavy,heavy,heavy,heavy,medium_age
1354,M,large,large,medium,medium,heavy,medium,heavy,old_age
1355,I,large,large,medium,heavy,heavy,heavy,medium,medium_age
1356,F,large,large,medium,heavy,heavy,heavy,medium,old_age
1357,F,large,medium,medium,medium,medium,medium,medium,medium_age
1358,M,large,medium,medium,medium,heavy,medium,heavy,old_age
