id,bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,class_name
355,f,f,f,f,f,t,t,t,t,f,t,f,l,f,w,f,f,won
356,f,f,f,f,f,f,t,f,f,t,f,t,g,f,n,f,f,nowin
357,f,f,f,f,t,f,t,f,f,f,f,f,l,f,n,f,f,nowin
358,f,f,f,f,f,t,t,f,f,t,f,f,g,f,n,f,f,nowin
359,f,f,f,t,t,t,f,f,f,t,f,f,l,f,n,f,f,won
360,f,f,f,f,t,t,t,t,t,f,f,f,g,f,n,f,f,nowin
361,t,f,t,f,f,f,t,t,t,t,t,f,g,f,n,f,f,nowin
362,f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,won
363,f,f,f,t,t,t,t,t,t,f,f,f,l,f,n,f,f,won
364,f,f,f,f,t,f,t,f,f,f,f,f,g,f,n,f,f,won
365,t,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,won
366,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,won
367,f,f,f,f,f,f,t,t,t,t,f,f,g,f,n,f,f,nowin
368,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,nowin
369,f,f,f,t,t,f,f,f,f,f,t,f,l,f,n,f,f,won
370,f,t,f,f,f,f,f,f,t,f,f,t,l,f,n,t,f,won
371,f,f,f,f,f,t,f,f,f,f,f,t,l,f,n,f,f,nowin
372,f,f,f,f,t,t,t,f,t,f,f,f,g,f,n,f,f,nowin
373,t,f,f,f,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
374,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,won
375,t,f,f,f,f,f,f,f,f,f,t,f,g,f,b,f,f,won
376,f,f,f,f,f,f,t,t,t,f,t,t,l,f,w,f,f,won
377,f,f,f,f,f,t,t,f,f,t,t,f,l,f,w,f,f,nowin
378,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
379,t,f,f,f,f,f,t,t,t,t,t,f,l,f,n,f,f,nowin
380,f,f,f,f,t,f,t,f,f,f,f,f,l,f,n,f,f,won
381,f,f,f,f,f,f,f,f,f,f,f,t,g,f,n,f,f,nowin
382,f,f,f,f,f,t,f,f,f,f,f,t,g,f,n,f,f,won
383,f,f,f,f,t,f,t,f,f,t,f,f,g,f,n,f,f,nowin
384,f,f,t,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
385,f,f,f,f,f,f,t,f,f,t,t,f,l,f,w,f,f,nowin
386,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,won
387,f,f,f,f,t,f,f,f,f,f,t,f,l,f,b,f,f,nowin
388,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,nowin
389,t,f,t,f,t,f,t,t,t,t,t,f,g,f,b,f,f,nowin
390,f,f,f,f,f,f,f,f,t,f,t,f,g,f,n,f,t,won
391,f,f,f,f,f,f,f,f,f,t,t,f,g,f,n,f,t,nowin
392,f,f,f,f,t,f,t,t,t,f,f,f,l,f,n,f,f,nowin
393,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
394,f,f,f,f,f,f,f,f,t,f,t,f,l,f,n,f,f,nowin
395,f,f,f,f,f,t,f,t,t,t,t,f,l,f,w,f,f,nowin
396,f,f,f,f,t,t,f,t,t,t,t,f,l,f,b,f,f,nowin
397,f,f,f,f,f,f,t,t,t,t,f,f,l,f,n,f,f,nowin
398,f,f,f,f,t,f,t,f,t,f,f,f,l,f,n,f,f,nowin
399,f,t,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,nowin
400,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
401,t,f,f,f,f,t,t,f,f,f,t,f,l,f,w,f,f,won
402,f,f,f,f,t,f,f,f,t,f,t,f,l,f,w,f,f,won
403,f,f,f,f,f,t,f,f,f,f,t,f,l,f,w,f,f,won
404,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
405,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,won
406,f,f,f,f,t,t,t,t,t,f,f,f,g,f,n,f,f,won
407,t,f,f,f,f,t,t,f,f,f,t,t,l,f,n,f,f,won
408,f,f,f,f,f,t,f,t,t,t,t,f,g,f,n,f,f,nowin
409,f,f,f,f,t,t,t,f,f,f,f,f,g,f,n,f,f,won
410,f,f,f,f,f,f,t,t,t,f,f,t,l,f,n,f,f,nowin
411,f,f,f,f,f,t,t,f,f,f,t,f,l,f,n,f,f,nowin
412,f,f,f,f,f,t,f,t,t,t,t,f,l,f,w,f,f,nowin
413,f,f,f,f,f,f,f,f,t,f,f,t,g,f,n,f,f,nowin
414,f,f,f,f,t,f,f,f,f,t,f,f,g,f,n,f,f,won
415,f,f,f,f,t,t,t,f,f,f,t,f,l,f,w,f,f,won
416,f,f,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,won
417,f,f,f,f,f,f,t,t,t,f,t,f,g,f,n,f,f,won
418,f,f,t,f,t,f,t,t,t,t,f,f,g,f,n,f,f,nowin
419,f,f,f,f,f,t,t,t,t,f,t,f,l,f,n,t,f,nowin
420,f,f,f,f,f,t,f,f,f,f,f,f,g,f,n,f,f,won
421,f,f,f,t,f,t,f,f,f,t,f,f,l,f,n,f,f,nowin
422,f,f,f,f,f,t,t,t,t,f,t,f,l,f,w,f,f,won
423,f,t,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,nowin
424,f,f,f,f,f,f,t,t,t,t,t,f,g,f,n,f,f,nowin
425,f,f,f,f,f,f,t,f,f,f,t,f,l,f,n,f,f,nowin
426,f,f,f,f,f,t,f,f,f,f,f,t,g,f,n,f,f,won
427,f,f,f,f,f,f,t,f,f,t,f,f,l,f,w,f,f,won
428,f,f,f,t,f,t,f,f,f,f,f,f,g,f,n,f,f,won
429,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
430,f,f,f,f,t,f,f,f,f,f,t,f,g,f,n,f,f,nowin
431,f,f,f,t,t,t,f,f,f,f,f,f,g,f,n,t,f,nowin
432,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
433,f,t,f,f,f,f,f,f,f,t,t,f,l,f,w,f,f,nowin
434,f,f,f,f,f,t,f,t,t,t,t,f,l,f,n,f,f,nowin
435,f,f,f,f,t,f,f,f,t,f,t,f,l,f,w,f,f,won
436,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,won
437,f,f,f,f,t,f,t,f,f,f,f,f,g,f,n,f,f,nowin
438,f,f,f,f,t,f,t,t,t,f,f,f,l,f,n,f,f,nowin
439,f,f,f,f,t,f,f,f,f,f,t,f,l,f,n,f,f,nowin
440,f,f,f,f,f,t,t,f,f,f,t,f,l,f,w,f,f,won
441,f,f,f,f,f,f,t,t,t,t,t,f,l,f,w,f,f,nowin
442,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,nowin
443,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,nowin
444,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
445,f,f,f,f,f,t,f,f,t,f,t,f,l,f,n,f,f,won
446,t,f,f,f,f,t,t,f,f,f,t,f,l,f,w,f,f,won
447,t,f,f,f,t,t,t,f,t,f,t,f,l,f,w,f,f,won
448,f,t,f,f,f,t,f,f,f,t,t,f,l,f,n,f,f,nowin
449,f,f,f,f,f,t,f,f,t,f,f,f,g,f,n,f,f,won
450,t,f,f,t,t,t,t,t,t,f,t,f,l,f,w,f,f,nowin
451,f,f,f,f,f,t,t,f,f,t,f,f,l,f,n,f,f,nowin
452,f,f,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,won
453,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
454,f,f,t,f,t,f,t,t,t,t,f,f,l,f,n,f,f,nowin
455,f,f,f,f,f,f,t,t,t,t,t,f,l,f,w,f,f,won
456,f,f,f,f,t,t,t,f,f,f,t,f,l,f,n,f,f,won
457,f,f,f,f,f,f,f,f,f,t,t,f,g,f,b,f,t,nowin
458,f,f,f,f,t,f,t,t,t,f,t,f,l,f,n,f,f,won
459,f,f,f,f,t,t,f,f,f,t,f,f,g,f,n,f,f,won
460,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
461,f,t,f,f,f,t,f,f,f,t,t,f,l,f,w,f,f,nowin
462,f,f,f,f,f,t,f,f,f,f,t,f,l,f,w,f,f,won
463,f,f,f,f,f,t,t,f,t,f,t,f,l,f,n,f,f,won
464,f,f,f,f,f,t,f,f,f,t,f,t,g,f,n,f,f,won
465,f,f,t,f,t,f,t,t,t,t,f,f,l,f,n,f,f,nowin
466,f,f,f,t,f,t,f,f,f,f,t,f,l,f,n,t,f,nowin
467,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
468,f,f,f,f,t,t,t,t,t,f,f,f,l,f,n,f,f,nowin
469,f,f,f,f,f,t,t,f,f,t,t,f,l,f,w,f,f,nowin
470,f,f,f,f,f,f,t,f,f,t,f,f,l,f,n,f,f,nowin
471,f,f,f,f,f,f,f,f,f,f,f,f,g,f,w,f,f,nowin
472,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,nowin
473,t,t,t,f,f,f,f,f,f,f,f,f,l,t,n,t,f,nowin
474,f,f,f,f,f,t,t,f,f,f,f,f,l,f,n,f,f,won
475,f,f,f,f,f,t,f,f,f,t,t,f,g,f,n,f,f,nowin
476,f,f,f,f,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
477,f,f,f,f,f,f,f,f,f,t,t,f,g,f,b,f,f,nowin
478,f,f,f,f,f,t,f,f,t,f,t,f,g,f,n,f,f,won
479,t,t,t,f,f,f,f,f,f,f,f,f,l,t,b,t,f,nowin
480,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,nowin
481,f,t,t,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
482,f,f,f,f,t,t,t,f,f,f,f,f,g,f,n,f,f,nowin
483,t,f,f,f,t,f,t,t,t,t,t,f,l,f,n,f,f,nowin
484,f,t,f,f,f,t,f,f,t,f,t,f,l,f,w,f,f,won
485,f,f,f,f,f,t,f,f,f,t,t,f,l,f,n,f,f,nowin
486,f,f,t,f,t,f,t,t,t,t,f,f,l,f,n,f,f,nowin
487,f,f,f,f,f,f,t,t,t,f,t,f,l,f,n,f,f,nowin
488,f,f,f,f,f,f,f,f,f,f,t,t,g,f,n,f,f,nowin
489,f,f,f,f,f,t,f,f,f,f,f,t,g,f,n,f,f,won
490,f,f,f,t,f,t,f,f,f,f,f,f,l,f,n,f,f,won
491,f,f,f,f,f,f,f,f,f,f,f,t,g,f,n,f,f,nowin
492,f,f,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,won
493,f,f,t,f,f,f,t,t,t,t,f,f,l,f,n,f,f,nowin
494,f,f,f,t,t,f,f,f,f,t,t,f,g,f,n,f,f,won
495,f,t,f,f,f,f,f,f,t,f,f,f,l,f,n,t,f,won
496,f,f,f,f,f,f,t,t,t,t,t,f,l,f,w,f,f,nowin
497,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,won
498,t,f,f,t,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
499,f,f,f,f,f,t,f,f,f,t,f,f,g,f,n,f,t,nowin
500,t,f,t,f,f,t,t,f,f,f,t,f,g,f,b,f,f,nowin
501,f,f,f,f,f,t,f,f,t,f,f,f,l,f,n,f,f,won
502,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
503,t,f,f,t,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
504,f,f,f,f,f,f,t,t,t,f,t,f,l,f,w,f,f,won
505,f,f,f,f,t,f,t,f,f,f,f,f,g,f,n,f,f,won
506,f,f,f,t,t,t,f,f,f,f,f,f,l,f,n,f,f,won
507,f,t,f,f,f,t,f,f,f,t,f,f,l,f,n,t,f,nowin
508,f,f,f,f,f,f,f,f,f,t,f,t,l,f,n,f,f,won
509,f,f,f,f,t,t,t,f,f,f,t,f,l,f,n,f,f,won
510,f,f,f,f,t,t,t,f,f,f,f,f,l,f,n,f,f,won
511,t,f,f,f,t,f,t,t,t,t,t,f,l,f,n,f,f,nowin
512,f,t,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,nowin
513,f,f,f,t,t,t,f,f,f,t,f,f,l,f,n,f,f,won
514,f,f,f,f,f,f,f,f,f,t,f,t,l,f,n,f,f,nowin
515,f,f,f,f,t,f,t,f,f,f,t,f,l,f,n,f,f,won
516,f,f,f,f,t,f,f,f,f,t,f,f,l,f,n,f,f,won
517,t,f,f,f,t,t,t,f,t,f,t,f,g,f,n,f,f,won
518,f,f,f,f,f,t,f,t,t,t,f,f,g,f,n,f,f,nowin
519,f,f,f,f,f,t,t,t,t,f,t,f,g,f,n,f,f,won
520,f,f,f,f,f,t,t,f,f,t,t,f,l,f,w,f,f,nowin
521,f,f,f,f,f,t,f,f,t,f,f,t,l,f,n,f,f,won
522,t,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,won
523,f,f,f,f,f,t,f,f,t,f,t,f,l,f,w,f,f,won
524,f,f,f,f,t,f,f,f,f,f,f,f,g,f,n,f,f,nowin
525,f,f,f,f,t,f,f,f,f,f,f,f,g,f,n,f,f,won
526,f,f,f,f,t,t,t,f,f,f,t,f,g,f,n,f,f,won
527,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
528,f,f,f,t,t,t,f,f,f,f,f,f,l,f,n,f,f,nowin
529,f,f,f,t,t,t,f,f,f,f,f,f,l,f,n,f,f,nowin
530,f,f,f,f,t,t,f,f,f,f,f,f,l,f,n,f,f,won
531,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,nowin
532,f,f,f,t,t,f,f,f,f,f,t,f,l,f,b,f,f,nowin
533,f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,won
534,f,f,f,f,f,t,t,f,f,t,t,f,l,f,w,f,f,won
535,f,f,f,f,f,f,f,f,t,f,t,f,l,f,n,f,f,nowin
536,f,f,f,f,f,f,f,f,f,t,t,f,l,f,b,f,f,nowin
537,f,f,f,f,f,f,f,f,f,t,f,f,g,f,n,f,f,nowin
538,f,f,f,t,t,f,f,f,f,t,t,f,g,f,n,f,f,nowin
539,f,f,f,f,f,t,f,t,t,t,f,f,l,f,n,f,f,nowin
540,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
541,f,f,f,t,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
542,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
543,f,f,f,f,f,f,f,f,t,f,t,f,l,f,w,f,f,won
544,f,f,f,f,t,f,t,f,f,f,t,f,l,f,n,f,f,nowin
545,f,t,f,f,f,f,f,f,f,t,t,f,l,f,w,f,f,won
546,t,f,f,f,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
547,f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,nowin
548,f,f,f,f,t,f,t,t,t,f,f,f,l,f,n,f,f,won
549,f,f,f,f,f,f,f,f,t,f,f,t,l,f,n,f,f,won
550,t,f,f,f,f,f,t,t,t,t,t,f,g,f,n,f,f,nowin
551,f,f,f,f,f,t,f,f,f,t,f,f,g,f,n,f,f,won
552,f,f,f,t,f,t,f,f,f,f,t,f,l,f,n,f,f,won
553,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,won
554,f,f,f,f,f,t,t,f,f,f,t,f,l,f,n,f,f,won
555,f,f,f,t,f,t,f,f,f,f,f,f,g,f,n,f,f,won
556,f,f,t,f,f,f,t,t,t,t,f,f,g,f,n,f,f,nowin
557,f,f,f,f,f,f,f,f,f,t,f,t,l,f,n,f,f,won
558,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,won
559,f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,nowin
560,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,t,won
561,f,f,f,f,f,t,t,f,t,f,t,t,l,f,n,f,f,nowin
562,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,t,f,nowin
563,f,f,f,f,t,t,t,f,t,f,f,f,g,f,n,f,f,nowin
564,f,f,f,f,f,t,f,f,t,f,f,f,g,f,n,t,f,nowin
565,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
566,f,f,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,nowin
567,t,f,t,f,f,t,f,f,f,f,t,f,g,f,b,f,f,nowin
568,f,f,f,t,f,t,f,f,f,f,t,f,g,f,n,f,f,won
569,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,nowin
570,f,f,f,t,t,f,f,f,f,f,t,f,l,f,n,f,f,won
571,f,f,f,f,t,f,f,f,t,f,f,f,l,f,n,f,f,nowin
572,t,f,f,t,f,t,f,f,f,f,t,f,l,f,n,f,f,nowin
573,f,f,f,t,t,t,t,t,t,f,f,f,g,f,n,f,f,nowin
574,f,f,f,f,t,t,t,f,f,f,t,f,l,f,n,f,f,nowin
575,f,f,f,f,f,t,f,t,t,t,t,f,l,f,w,f,f,nowin
576,t,f,f,f,t,f,f,f,t,f,t,f,g,f,n,f,f,won
577,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,won
578,t,f,f,f,t,t,t,f,t,f,t,f,g,f,n,f,f,won
579,f,f,f,f,f,f,f,f,t,f,f,f,g,f,n,f,t,won
580,t,f,f,f,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
581,f,f,f,f,t,f,t,t,t,t,f,f,l,f,n,f,f,nowin
582,f,f,f,f,f,f,f,f,f,t,t,f,g,f,b,f,f,nowin
583,f,f,f,f,f,f,t,f,f,f,f,f,g,f,n,f,f,nowin
584,f,f,f,f,t,f,t,t,t,t,f,f,l,f,n,f,f,nowin
585,f,f,f,f,f,t,t,f,f,f,t,f,l,f,n,f,f,won
586,f,f,f,f,t,f,t,t,t,f,f,f,g,f,n,f,f,nowin
587,f,t,f,f,f,f,f,f,f,t,f,t,l,f,n,t,f,nowin
588,t,t,t,f,f,f,f,f,f,f,t,f,g,t,b,t,f,nowin
589,f,f,f,f,f,t,t,f,f,f,f,f,g,f,n,f,f,won
590,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,nowin
591,f,f,f,f,f,f,t,f,t,f,t,f,l,f,n,f,f,won
592,t,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
593,f,f,f,f,f,t,t,f,t,f,t,t,l,f,w,f,f,won
594,f,f,f,f,f,f,f,f,f,f,f,t,l,f,n,f,f,won
595,f,f,f,f,f,f,f,f,f,t,f,t,l,f,n,f,f,nowin
596,f,f,f,f,f,f,f,f,f,t,f,t,l,f,n,f,f,nowin
597,f,t,f,f,f,f,f,f,f,t,f,t,l,f,n,f,f,nowin
598,f,f,f,f,f,t,t,t,t,f,t,f,l,f,w,f,f,won
599,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
600,f,f,f,f,f,f,f,f,f,f,t,t,l,f,n,f,f,won
601,f,f,f,f,f,f,f,f,t,f,t,f,l,f,n,f,f,nowin
602,t,f,f,f,t,f,f,f,t,f,t,f,g,f,b,f,f,won
603,f,f,f,f,t,f,f,f,f,f,t,f,l,f,w,f,f,won
604,f,f,f,f,t,t,t,f,t,f,f,f,g,f,n,f,f,nowin
605,t,f,f,t,f,t,f,f,f,f,t,f,l,f,w,f,f,won
606,f,f,f,f,t,f,t,t,t,f,f,f,g,f,n,f,f,won
607,f,f,f,f,t,f,t,t,t,f,f,f,l,f,n,f,f,won
608,f,f,f,f,f,t,t,f,f,f,f,f,l,f,n,f,f,won
609,f,f,f,f,f,f,f,f,f,f,t,f,g,f,n,f,f,nowin
610,t,f,f,f,f,t,f,t,t,t,t,f,g,f,b,f,f,nowin
611,f,f,f,f,f,t,t,f,t,f,t,f,l,f,w,f,f,won
612,f,f,f,f,t,t,t,f,f,f,t,f,l,f,w,f,f,won
613,f,f,f,f,t,t,t,f,f,f,t,f,g,f,n,f,f,won
614,f,f,f,t,f,t,f,f,f,f,t,f,l,f,n,f,f,nowin
615,t,f,f,f,f,t,f,f,f,f,t,f,g,f,b,f,f,won
616,f,f,f,f,t,f,f,f,t,f,f,f,g,f,n,f,f,won
617,f,f,f,f,f,t,t,t,t,f,t,f,l,f,n,t,f,nowin
618,t,f,f,f,f,f,t,t,t,t,t,f,l,f,w,f,f,nowin
619,f,f,f,f,t,t,t,f,f,f,f,f,l,f,n,f,f,won
620,f,f,t,f,t,f,t,t,t,t,f,f,g,f,n,f,f,nowin
621,f,f,f,t,f,f,t,t,t,t,f,t,l,f,w,f,f,won
622,f,f,f,f,t,f,f,f,t,f,t,f,l,f,w,f,f,won
623,f,f,f,f,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
624,f,f,f,f,t,f,t,t,t,t,f,f,g,f,n,f,f,won
625,f,f,f,f,t,t,t,f,f,f,f,f,g,f,n,f,f,nowin
626,f,t,f,f,f,f,f,f,f,t,t,f,l,f,n,t,f,nowin
627,t,f,f,f,t,f,f,f,t,f,t,f,g,f,b,f,f,won
628,f,t,f,f,f,t,f,f,f,f,f,f,l,f,n,t,f,won
629,f,f,f,f,f,f,f,f,f,t,t,f,l,f,n,f,t,nowin
630,f,f,f,f,t,t,t,f,t,f,f,f,l,f,n,f,f,nowin
631,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
632,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,won
633,t,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
634,f,f,f,f,t,f,t,f,f,f,t,f,l,f,w,f,f,won
635,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
636,f,f,f,f,f,t,f,t,t,t,t,f,l,f,n,f,f,nowin
637,t,f,f,f,f,f,f,f,f,f,t,f,l,f,b,f,f,won
638,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
639,f,f,f,f,f,f,t,f,t,f,t,f,g,f,n,f,f,won
640,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,nowin
641,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,t,nowin
642,f,f,f,f,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
643,t,f,f,f,t,t,f,f,f,f,t,f,l,f,n,f,f,won
644,f,f,f,f,f,t,t,f,f,f,f,f,l,f,n,f,f,won
645,f,t,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,nowin
646,f,f,f,f,f,f,t,t,t,f,f,t,l,f,n,f,f,nowin
647,f,f,f,f,f,t,t,f,f,t,t,f,g,f,n,f,f,nowin
648,f,f,f,f,f,t,f,t,t,t,t,f,g,f,n,f,f,nowin
649,f,f,f,t,t,t,f,f,f,t,f,f,l,f,n,f,f,won
650,f,f,f,f,f,f,f,f,t,f,t,f,l,f,n,f,t,won
651,f,f,f,f,f,f,f,f,t,f,t,t,l,f,n,f,t,won
652,f,t,f,f,f,t,f,f,f,f,f,f,g,f,n,f,f,won
653,f,f,f,f,t,f,t,f,f,f,f,f,g,f,n,f,f,won
654,f,f,f,f,f,f,f,f,t,f,f,t,g,f,n,f,f,won
655,f,f,f,f,f,f,f,f,f,t,t,f,l,f,n,f,f,nowin
656,t,f,f,f,f,f,t,f,f,f,f,t,g,f,b,f,f,nowin
657,f,t,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
658,f,f,f,f,f,f,f,f,f,t,t,f,l,f,b,f,t,nowin
659,t,f,f,f,t,f,t,t,t,f,t,f,l,f,b,f,f,won
660,f,f,f,f,f,t,f,f,f,t,t,f,l,f,w,f,f,won
661,t,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,won
662,f,f,f,f,f,t,f,f,f,f,f,t,l,f,n,f,f,won
663,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
664,f,f,f,f,f,t,t,f,t,f,t,f,l,f,n,f,f,won
665,f,f,f,f,t,t,t,f,f,f,f,f,l,f,n,f,f,won
666,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,won
667,f,f,f,f,t,t,t,t,t,f,f,f,g,f,n,f,f,nowin
668,f,f,f,f,f,t,f,t,t,t,f,f,l,f,n,f,f,nowin
669,f,f,f,t,f,t,f,f,f,t,t,f,g,f,n,f,f,won
670,f,f,f,f,f,f,f,f,t,f,f,t,l,f,n,f,f,won
671,f,f,f,f,f,f,t,t,t,f,t,f,g,f,n,f,f,won
672,f,f,f,f,t,f,t,f,f,f,t,f,g,f,n,f,f,won
673,f,f,f,t,t,t,t,t,t,f,f,f,g,f,n,f,f,won
674,f,f,f,f,f,t,f,f,f,f,t,f,l,f,w,f,f,won
675,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
676,f,f,f,f,f,f,f,f,f,t,f,t,l,f,n,f,f,nowin
677,f,f,f,f,f,t,t,t,t,t,t,f,l,f,w,f,f,nowin
678,f,f,f,f,f,t,f,f,f,f,f,t,l,f,n,f,f,won
679,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,won
680,f,f,f,t,t,t,f,f,f,f,f,f,g,f,n,f,f,nowin
681,f,f,f,f,t,t,t,t,t,t,f,f,l,f,n,f,f,nowin
682,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
683,f,f,f,t,f,t,f,f,f,f,f,f,l,f,n,f,f,won
684,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,won
685,f,f,f,f,t,t,t,f,f,f,t,f,l,f,n,t,f,nowin
686,f,f,f,f,t,t,f,t,t,t,t,f,l,f,n,f,f,nowin
687,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
688,f,f,f,f,f,t,t,f,t,f,t,f,l,f,n,f,f,nowin
689,f,f,f,f,f,f,t,f,f,t,t,f,l,f,n,f,f,nowin
690,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,nowin
691,f,f,f,f,f,f,t,t,t,f,t,f,l,f,n,f,f,nowin
692,f,f,f,f,f,f,t,t,t,f,t,f,l,f,n,f,f,won
693,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
694,f,f,f,f,t,t,f,f,t,f,t,f,g,f,b,f,f,won
695,f,t,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,won
696,f,t,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
697,f,f,f,f,f,t,f,f,t,f,f,f,l,f,n,f,f,won
698,f,f,f,f,f,f,t,f,f,f,t,f,l,f,b,f,f,nowin
699,f,f,f,f,t,f,t,t,t,t,f,f,g,f,n,f,f,nowin
700,f,f,t,f,f,t,t,f,f,t,f,f,l,f,n,f,f,nowin
701,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
702,f,f,f,f,t,f,t,f,f,f,t,f,l,f,n,f,f,nowin
703,f,f,f,f,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
704,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,won
705,f,f,f,f,t,f,t,t,t,f,f,f,g,f,n,f,f,won
706,t,f,t,f,f,t,f,f,f,f,t,f,l,f,n,f,f,nowin
707,f,f,f,f,f,t,t,f,t,f,t,t,l,f,w,f,t,won
708,f,f,f,t,f,t,f,f,f,f,t,f,l,f,n,f,f,nowin
709,f,f,f,f,f,t,f,f,f,t,t,f,l,f,w,f,f,nowin
710,t,f,f,f,f,f,t,t,t,t,t,f,l,f,n,t,f,nowin
711,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
