id,buying,maint,doors,persons,lug_boot,safety,class_name
719,vhigh,high,4,2,big,med,unacc
720,high,low,4,2,small,low,unacc
721,high,vhigh,4,more,big,med,unacc
722,med,low,2,more,small,med,unacc
723,low,high,3,4,med,med,acc
724,vhigh,vhigh,2,more,big,low,unacc
725,vhigh,low,5more,2,big,high,unacc
726,high,med,5more,more,med,low,unacc
727,vhigh,med,4,2,small,low,unacc
728,low,vhigh,4,2,big,low,unacc
729,vhigh,vhigh,4,2,med,med,unacc
730,low,med,3,4,big,high,vgood
731,med,high,5more,2,big,low,unacc
732,low,vhigh,2,4,med,low,unacc
733,low,high,2,4,small,high,acc
734,med,med,5more,2,med,med,unacc
735,high,low,5more,2,big,high,unacc
736,vhigh,med,5more,more,small,med,unacc
737,med,high,4,2,small,high,unacc
738,med,vhigh,2,4,med,high,acc
739,vhigh,high,3,4,big,med,unacc
740,high,low,5more,2,small,med,unacc
741,high,med,5more,2,big,med,unacc
742,vhigh,high,2,2,big,high,unacc
743,high,med,3,more,med,low,unacc
744,vhigh,high,2,4,small,med,unacc
745,low,high,4,4,med,med,acc
746,low,high,3,2,small,high,unacc
747,vhigh,med,3,2,med,med,unacc
748,high,low,4,4,big,med,acc
749,low,med,5more,2,small,high,unacc
750,low,med,3,4,big,med,good
751,vhigh,vhigh,4,2,big,high,unacc
752,low,low,5more,4,med,low,unacc
753,low,high,4,4,small,low,unacc
754,low,low,4,4,big,high,vgood
755,vhigh,vhigh,2,more,big,med,unacc
756,med,high,3,4,small,low,unacc
757,low,high,5more,4,small,med,acc
758,high,vhigh,4,4,big,high,unacc
759,low,high,5more,more,big,low,unacc
760,high,med,2,2,med,med,unacc
761,low,low,3,more,small,med,acc
762,low,low,3,2,small,high,unacc
763,low,med,3,4,med,med,acc
764,high,low,5more,more,big,low,unacc
765,vhigh,vhigh,3,4,small,high,unacc
766,med,low,5more,4,small,med,acc
767,low,med,2,more,med,high,good
768,low,high,5more,2,small,high,unacc
769,high,high,2,2,med,high,unacc
770,high,high,2,2,big,high,unacc
771,high,vhigh,4,more,small,med,unacc
772,low,high,5more,2,med,low,unacc
773,med,low,3,4,med,low,unacc
774,med,med,3,2,med,med,unacc
775,vhigh,high,4,more,med,low,unacc
776,med,high,2,4,med,med,unacc
777,vhigh,low,2,more,small,high,unacc
778,vhigh,high,3,4,small,high,unacc
779,low,high,4,4,big,med,acc
780,vhigh,med,2,more,big,low,unacc
781,med,med,5more,more,med,med,acc
782,high,low,5more,more,small,low,unacc
783,vhigh,high,2,more,med,high,unacc
784,vhigh,med,4,more,med,med,acc
785,vhigh,high,3,2,small,low,unacc
786,vhigh,vhigh,4,more,big,high,unacc
787,med,med,5more,4,small,low,unacc
788,vhigh,high,3,more,big,med,unacc
789,med,low,2,2,big,high,unacc
790,vhigh,vhigh,3,4,small,low,unacc
791,med,low,4,4,big,med,good
792,vhigh,low,3,2,big,low,unacc
793,low,med,2,4,small,high,good
794,med,high,3,4,big,high,acc
795,vhigh,med,4,4,med,med,acc
796,med,vhigh,2,4,big,high,acc
797,low,med,4,more,small,low,unacc
798,med,low,3,more,big,low,unacc
799,low,vhigh,3,more,big,low,unacc
800,low,low,2,2,small,low,unacc
801,vhigh,low,5more,4,small,low,unacc
802,vhigh,low,5more,more,big,low,unacc
803,med,med,4,4,big,high,vgood
804,med,high,3,more,med,high,acc
805,med,vhigh,4,2,small,high,unacc
806,med,low,3,more,big,high,vgood
807,low,low,5more,more,med,med,good
808,med,vhigh,4,2,big,low,unacc
809,high,vhigh,2,2,med,high,unacc
810,vhigh,low,2,2,med,high,unacc
811,vhigh,med,3,more,small,high,acc
812,vhigh,low,4,more,big,low,unacc
813,low,med,4,2,med,med,unacc
814,med,vhigh,2,2,big,low,unacc
815,vhigh,med,4,more,med,low,unacc
816,low,vhigh,3,4,small,high,acc
817,vhigh,high,4,2,small,low,unacc
818,med,med,5more,2,big,high,unacc
819,high,med,3,more,med,high,acc
820,low,high,5more,more,small,med,acc
821,med,med,3,4,small,low,unacc
822,high,high,2,4,small,low,unacc
823,low,high,3,2,big,high,unacc
824,low,med,4,more,big,high,vgood
825,high,low,3,4,small,low,unacc
826,vhigh,med,4,2,small,med,unacc
827,high,high,5more,4,small,high,acc
828,low,vhigh,3,2,small,high,unacc
829,vhigh,low,2,4,med,med,unacc
830,med,high,3,4,small,high,acc
831,low,high,2,4,big,low,unacc
832,low,high,2,4,med,low,unacc
833,vhigh,vhigh,2,more,med,low,unacc
834,low,med,2,2,small,med,unacc
835,med,med,2,4,big,med,acc
836,med,low,2,more,small,low,unacc
837,vhigh,med,2,more,small,med,unacc
838,med,high,4,more,big,low,unacc
839,low,low,2,2,small,high,unacc
840,vhigh,vhigh,5more,2,med,high,unacc
841,med,low,2,2,big,med,unacc
842,med,low,5more,2,small,high,unacc
843,high,med,4,2,small,med,unacc
844,vhigh,med,4,4,med,low,unacc
845,high,vhigh,2,4,small,med,unacc
846,low,low,3,2,small,med,unacc
847,high,high,4,4,small,low,unacc
848,high,med,4,more,big,med,acc
849,vhigh,vhigh,3,4,big,high,unacc
850,vhigh,med,2,4,small,med,unacc
851,med,low,2,4,med,high,good
852,high,vhigh,3,4,med,high,unacc
853,med,vhigh,2,more,big,low,unacc
854,vhigh,high,2,4,med,low,unacc
855,low,vhigh,2,2,big,low,unacc
856,low,med,4,4,med,med,good
857,high,med,5more,more,med,high,acc
858,vhigh,vhigh,2,4,med,low,unacc
859,low,low,3,2,small,low,unacc
860,med,vhigh,4,4,big,med,acc
861,med,low,2,4,small,med,acc
862,high,high,4,2,big,high,unacc
863,high,high,2,4,med,low,unacc
864,vhigh,low,2,more,small,low,unacc
865,low,vhigh,2,2,med,low,unacc
866,med,vhigh,4,more,small,high,acc
867,med,low,5more,4,big,low,unacc
868,high,high,4,2,med,low,unacc
869,low,vhigh,5more,4,small,high,acc
870,med,low,4,more,small,low,unacc
871,med,med,3,4,med,low,unacc
872,low,vhigh,3,4,small,med,unacc
873,med,vhigh,2,4,small,low,unacc
874,high,low,5more,2,med,med,unacc
875,med,high,3,2,small,high,unacc
876,vhigh,high,3,2,small,med,unacc
877,low,low,2,2,big,low,unacc
878,high,high,2,4,med,high,acc
879,high,vhigh,3,4,big,high,unacc
880,low,high,2,more,small,med,unacc
881,high,high,5more,4,med,high,acc
882,low,vhigh,3,2,med,low,unacc
883,vhigh,med,4,2,small,high,unacc
884,vhigh,vhigh,3,more,med,med,unacc
885,high,vhigh,2,more,med,high,unacc
886,low,high,2,2,med,med,unacc
887,low,vhigh,3,4,big,low,unacc
888,vhigh,med,2,4,med,low,unacc
889,high,vhigh,2,2,big,med,unacc
890,vhigh,high,5more,4,med,low,unacc
891,med,vhigh,5more,4,big,low,unacc
892,med,vhigh,3,2,big,low,unacc
893,high,low,3,2,big,high,unacc
894,vhigh,med,2,2,small,med,unacc
895,med,high,5more,4,med,low,unacc
896,high,vhigh,5more,4,small,high,unacc
897,vhigh,med,5more,4,med,med,acc
898,low,vhigh,5more,more,big,med,acc
899,high,high,4,2,med,high,unacc
900,low,med,5more,4,small,high,good
901,high,vhigh,3,more,small,high,unacc
902,vhigh,vhigh,4,2,big,med,unacc
903,med,vhigh,3,2,med,med,unacc
904,high,med,5more,more,small,low,unacc
905,med,vhigh,2,2,med,med,unacc
906,low,vhigh,2,2,med,med,unacc
907,vhigh,med,2,4,small,low,unacc
908,vhigh,high,4,4,big,low,unacc
909,low,low,4,2,small,high,unacc
910,vhigh,vhigh,4,2,small,high,unacc
911,med,high,2,more,small,med,unacc
912,vhigh,high,4,4,big,med,unacc
913,high,vhigh,3,more,med,high,unacc
914,low,high,3,2,big,med,unacc
915,high,low,4,4,med,high,acc
916,high,high,5more,more,small,low,unacc
917,med,med,5more,more,small,high,acc
918,high,med,2,2,big,low,unacc
919,med,high,5more,2,med,high,unacc
920,vhigh,low,2,4,med,low,unacc
921,med,low,2,2,small,med,unacc
922,low,low,5more,2,big,med,unacc
923,med,low,5more,2,small,med,unacc
924,low,low,5more,2,big,high,unacc
925,vhigh,low,5more,more,big,high,acc
926,high,low,5more,more,med,med,acc
927,low,vhigh,3,4,big,high,acc
928,vhigh,med,2,4,big,high,acc
929,high,vhigh,5more,4,big,med,unacc
930,vhigh,med,5more,2,med,low,unacc
931,med,med,4,2,med,high,unacc
932,low,low,4,more,big,high,vgood
933,high,med,5more,2,med,high,unacc
934,vhigh,high,3,more,big,low,unacc
935,med,high,4,4,big,med,acc
936,med,low,3,2,med,high,unacc
937,vhigh,high,5more,4,small,med,unacc
938,high,low,2,2,small,high,unacc
939,med,med,4,more,small,med,acc
940,low,low,2,more,small,low,unacc
941,low,high,3,4,med,high,acc
942,med,med,3,2,big,low,unacc
943,high,high,3,2,big,low,unacc
944,med,med,3,more,big,low,unacc
945,low,low,4,2,med,high,unacc
946,med,vhigh,4,2,small,med,unacc
947,vhigh,med,3,2,small,low,unacc
948,low,vhigh,4,4,big,low,unacc
949,low,med,3,more,med,low,unacc
950,high,low,2,4,small,high,acc
951,low,low,2,more,med,high,good
952,high,high,2,4,med,med,unacc
953,low,med,2,more,small,low,unacc
954,high,med,4,4,small,low,unacc
955,vhigh,vhigh,3,4,med,med,unacc
956,low,vhigh,2,more,med,low,unacc
957,low,low,3,4,small,med,acc
958,vhigh,low,2,more,big,low,unacc
959,high,low,2,more,small,low,unacc
960,vhigh,med,5more,2,small,high,unacc
961,high,med,2,4,med,high,acc
962,med,high,2,4,big,high,acc
963,low,low,5more,4,small,med,acc
964,low,high,2,more,med,high,acc
965,med,med,2,2,small,high,unacc
966,vhigh,vhigh,4,more,med,med,unacc
967,med,med,4,2,med,med,unacc
968,med,vhigh,4,more,med,med,acc
969,high,med,2,4,small,low,unacc
970,med,high,5more,4,med,high,acc
971,med,med,2,4,big,high,vgood
972,high,high,2,more,med,low,unacc
973,vhigh,vhigh,4,4,big,low,unacc
974,high,med,2,4,big,high,acc
975,low,low,4,2,small,low,unacc
976,high,vhigh,5more,2,med,low,unacc
977,vhigh,high,4,4,med,high,unacc
978,med,vhigh,3,more,med,high,acc
979,vhigh,vhigh,4,4,small,med,unacc
980,low,med,4,4,small,high,good
981,med,med,5more,more,small,low,unacc
982,low,low,2,4,med,high,good
983,vhigh,vhigh,2,2,big,low,unacc
984,med,high,2,more,small,high,unacc
985,med,high,3,4,big,low,unacc
986,low,med,3,2,small,low,unacc
987,vhigh,high,3,more,med,med,unacc
988,vhigh,low,3,more,med,med,acc
989,low,high,5more,2,med,high,unacc
990,med,med,3,4,big,high,vgood
991,high,med,4,more,med,med,acc
992,vhigh,high,4,4,small,med,unacc
993,low,low,4,2,med,low,unacc
994,low,high,3,more,small,low,unacc
995,high,high,2,2,med,low,unacc
996,low,low,3,more,med,high,vgood
997,low,high,2,4,big,high,vgood
998,vhigh,high,2,2,big,low,unacc
999,high,low,5more,2,big,low,unacc
1000,med,med,5more,2,big,low,unacc
1001,vhigh,vhigh,3,2,small,med,unacc
1002,vhigh,med,4,more,small,low,unacc
1003,med,low,2,more,big,high,vgood
1004,high,vhigh,2,4,big,high,unacc
1005,low,vhigh,4,4,med,low,unacc
1006,vhigh,vhigh,3,2,med,high,unacc
1007,med,low,2,more,big,med,good
1008,high,vhigh,5more,2,small,high,unacc
1009,vhigh,low,3,2,small,low,unacc
1010,high,low,2,4,big,low,unacc
1011,vhigh,low,4,4,small,med,unacc
1012,low,low,3,2,big,low,unacc
1013,low,low,3,4,big,med,good
1014,low,low,4,more,big,low,unacc
1015,med,med,5more,4,small,med,acc
1016,med,high,5more,more,big,med,acc
1017,vhigh,med,3,2,big,high,unacc
1018,low,high,2,2,big,med,unacc
1019,med,vhigh,5more,more,med,med,acc
1020,low,med,5more,4,small,low,unacc
1021,med,low,3,4,small,high,good
1022,low,low,2,4,big,high,vgood
1023,high,low,3,4,med,med,unacc
1024,med,med,4,2,big,high,unacc
1025,high,med,5more,4,med,med,acc
1026,low,med,3,2,med,high,unacc
1027,high,high,3,more,small,high,acc
1028,high,high,4,4,big,high,acc
1029,med,high,4,4,small,med,unacc
1030,low,vhigh,5more,more,small,med,unacc
1031,vhigh,high,4,2,med,low,unacc
1032,low,vhigh,3,4,med,med,unacc
1033,high,high,5more,4,small,low,unacc
1034,med,high,2,4,med,high,acc
1035,high,med,2,more,big,low,unacc
1036,vhigh,low,4,4,big,high,acc
1037,low,vhigh,5more,2,small,med,unacc
1038,med,med,2,2,big,med,unacc
1039,high,low,2,4,small,med,unacc
1040,med,high,3,more,med,med,acc
1041,vhigh,vhigh,5more,more,big,med,unacc
1042,med,med,2,4,med,med,acc
1043,med,low,2,4,big,high,vgood
1044,vhigh,vhigh,5more,2,small,med,unacc
1045,med,vhigh,3,more,small,low,unacc
1046,high,high,5more,2,med,med,unacc
1047,med,high,2,2,big,med,unacc
1048,high,high,2,more,small,high,unacc
1049,med,vhigh,4,4,small,med,unacc
1050,vhigh,low,5more,more,small,low,unacc
1051,low,med,2,4,med,high,good
1052,med,low,2,more,med,med,acc
1053,med,vhigh,4,2,med,med,unacc
1054,high,med,2,4,med,med,unacc
1055,low,high,3,more,big,med,acc
1056,high,high,2,2,small,high,unacc
1057,vhigh,low,4,2,small,med,unacc
1058,vhigh,high,3,2,big,low,unacc
1059,high,vhigh,3,2,big,med,unacc
1060,low,med,3,2,small,med,unacc
1061,high,vhigh,3,more,med,med,unacc
1062,high,vhigh,3,more,med,low,unacc
1063,med,med,3,2,small,med,unacc
1064,low,vhigh,5more,more,small,low,unacc
1065,low,vhigh,2,4,small,low,unacc
1066,high,vhigh,2,4,med,low,unacc
1067,med,vhigh,2,more,med,low,unacc
1068,vhigh,med,3,4,big,med,acc
1069,low,vhigh,3,more,med,med,acc
1070,high,high,2,4,small,high,acc
1071,low,high,3,2,small,med,unacc
1072,low,low,5more,more,big,high,vgood
1073,med,high,5more,more,big,low,unacc
1074,vhigh,low,2,2,small,high,unacc
1075,low,high,3,more,small,high,acc
1076,vhigh,high,4,more,small,high,unacc
1077,vhigh,med,3,more,small,low,unacc
1078,med,low,2,2,small,high,unacc
1079,low,low,5more,2,med,high,unacc
1080,low,vhigh,3,4,small,low,unacc
1081,vhigh,med,2,4,small,high,acc
1082,high,low,2,4,med,med,unacc
1083,low,high,3,4,small,low,unacc
1084,high,vhigh,3,2,big,high,unacc
1085,vhigh,med,5more,4,small,high,acc
1086,med,low,3,2,big,high,unacc
1087,high,vhigh,5more,4,med,high,unacc
1088,low,high,4,more,big,low,unacc
1089,high,vhigh,5more,4,small,low,unacc
1090,high,med,5more,4,small,med,unacc
1091,high,vhigh,3,4,med,med,unacc
1092,med,high,3,2,big,med,unacc
1093,med,vhigh,4,more,small,low,unacc
1094,med,med,2,4,med,low,unacc
1095,vhigh,low,5more,2,big,med,unacc
1096,high,high,2,more,small,med,unacc
1097,med,low,4,4,small,med,acc
1098,high,low,3,4,med,low,unacc
1099,low,vhigh,3,4,med,low,unacc
1100,vhigh,vhigh,3,4,med,high,unacc
1101,low,low,4,2,big,high,unacc
1102,vhigh,low,5more,2,big,low,unacc
1103,med,high,2,4,med,low,unacc
1104,low,high,3,more,small,med,acc
1105,vhigh,high,3,2,big,med,unacc
1106,med,low,3,2,med,med,unacc
1107,med,med,3,4,big,low,unacc
1108,med,vhigh,3,2,small,low,unacc
1109,vhigh,vhigh,5more,2,small,high,unacc
1110,low,high,5more,2,med,med,unacc
1111,med,high,3,2,med,low,unacc
1112,low,vhigh,2,more,big,high,acc
1113,med,med,5more,2,med,low,unacc
1114,low,low,3,more,big,low,unacc
1115,med,low,2,2,small,low,unacc
1116,low,high,3,2,small,low,unacc
1117,vhigh,high,2,2,big,med,unacc
1118,vhigh,low,4,more,med,med,acc
1119,low,vhigh,2,4,big,med,acc
1120,med,med,3,4,small,high,acc
1121,vhigh,vhigh,2,2,small,low,unacc
1122,med,med,2,more,med,low,unacc
1123,low,med,5more,more,small,low,unacc
1124,med,high,3,more,big,high,acc
1125,med,vhigh,3,4,big,high,acc
1126,vhigh,vhigh,3,more,big,low,unacc
1127,low,high,5more,4,med,med,acc
1128,med,low,3,more,small,high,good
1129,low,low,2,4,small,med,acc
1130,vhigh,med,2,more,big,high,acc
1131,high,high,4,more,small,low,unacc
1132,med,low,3,4,big,med,good
1133,vhigh,high,5more,4,small,high,unacc
1134,med,vhigh,4,more,big,low,unacc
1135,low,med,4,2,big,low,unacc
1136,high,med,3,more,big,low,unacc
1137,high,vhigh,5more,4,small,med,unacc
1138,low,high,4,4,small,high,acc
1139,med,med,4,4,med,low,unacc
1140,low,high,4,2,med,med,unacc
1141,med,med,4,more,small,high,acc
1142,med,low,4,2,med,med,unacc
1143,med,high,5more,more,small,high,acc
1144,high,high,4,more,big,low,unacc
1145,med,high,2,4,small,low,unacc
1146,vhigh,low,3,2,med,low,unacc
1147,high,low,2,2,med,med,unacc
1148,med,med,4,more,med,high,vgood
1149,high,low,2,more,small,med,unacc
1150,low,med,2,2,small,low,unacc
1151,vhigh,high,2,4,big,high,unacc
1152,vhigh,vhigh,2,2,small,high,unacc
1153,high,vhigh,5more,4,med,med,unacc
1154,vhigh,low,5more,4,small,high,acc
1155,vhigh,med,4,4,med,high,acc
1156,med,med,2,4,big,low,unacc
1157,med,vhigh,2,more,big,med,acc
1158,med,med,2,2,small,low,unacc
1159,vhigh,med,2,4,big,low,unacc
1160,high,low,4,2,big,med,unacc
1161,vhigh,med,3,2,big,low,unacc
1162,med,med,5more,4,big,low,unacc
1163,vhigh,high,5more,more,med,low,unacc
1164,low,med,3,more,med,med,good
1165,low,high,2,2,big,low,unacc
1166,low,high,5more,2,small,low,unacc
1167,high,vhigh,4,4,med,low,unacc
1168,med,high,2,2,big,high,unacc
1169,vhigh,low,3,4,med,med,unacc
1170,high,med,3,4,big,med,acc
1171,high,high,5more,4,small,med,unacc
1172,high,high,2,4,small,med,unacc
1173,med,vhigh,5more,4,small,high,acc
1174,low,vhigh,3,2,small,low,unacc
1175,high,low,3,2,med,low,unacc
1176,vhigh,vhigh,5more,4,med,low,unacc
1177,low,med,3,more,small,low,unacc
1178,high,med,4,4,med,low,unacc
1179,med,high,2,2,small,low,unacc
1180,low,high,5more,4,small,high,acc
1181,med,low,3,2,small,low,unacc
1182,high,med,5more,4,big,low,unacc
1183,med,vhigh,3,more,small,med,unacc
1184,high,high,2,more,small,low,unacc
1185,vhigh,med,5more,4,big,high,acc
1186,med,high,3,more,big,low,unacc
1187,low,low,4,more,med,med,good
1188,vhigh,high,3,4,med,med,unacc
1189,med,low,4,more,small,med,acc
1190,med,med,5more,4,med,low,unacc
1191,high,low,4,more,small,low,unacc
1192,med,low,5more,4,small,low,unacc
1193,low,med,5more,2,med,high,unacc
1194,high,low,5more,more,big,med,acc
1195,high,low,2,4,med,high,acc
1196,vhigh,low,2,4,med,high,acc
1197,vhigh,vhigh,4,4,small,low,unacc
1198,low,low,2,4,big,med,good
1199,high,high,3,more,small,low,unacc
1200,high,med,5more,4,small,low,unacc
1201,high,vhigh,5more,2,small,low,unacc
1202,high,low,5more,4,med,low,unacc
1203,med,high,3,2,med,high,unacc
1204,high,high,4,4,med,med,acc
1205,high,low,3,more,small,low,unacc
1206,vhigh,vhigh,3,more,small,high,unacc
1207,low,low,2,more,big,med,good
1208,high,med,2,4,med,low,unacc
1209,med,vhigh,5more,4,big,med,acc
1210,high,vhigh,5more,4,big,low,unacc
1211,vhigh,vhigh,5more,2,med,low,unacc
1212,low,med,4,4,med,low,unacc
1213,high,low,5more,more,small,high,acc
1214,high,low,4,more,small,med,unacc
1215,low,low,4,more,med,high,vgood
1216,med,high,2,more,small,low,unacc
1217,low,vhigh,2,more,small,med,unacc
1218,vhigh,vhigh,5more,more,small,high,unacc
1219,med,med,4,more,big,med,acc
1220,vhigh,low,2,2,small,low,unacc
1221,low,low,5more,more,small,high,good
1222,med,low,5more,2,big,high,unacc
1223,low,high,2,4,med,med,acc
1224,med,high,2,more,big,high,acc
1225,vhigh,vhigh,2,more,med,high,unacc
1226,med,low,3,more,med,high,vgood
1227,high,high,4,4,small,med,unacc
1228,med,high,2,2,small,med,unacc
1229,med,vhigh,5more,2,big,low,unacc
1230,vhigh,low,2,more,med,med,unacc
1231,med,vhigh,2,more,small,med,unacc
1232,high,low,5more,4,med,med,acc
1233,med,low,3,2,small,med,unacc
1234,vhigh,low,3,4,small,med,unacc
1235,low,med,3,4,small,med,acc
1236,high,med,2,4,small,med,unacc
1237,high,high,4,more,med,low,unacc
1238,high,low,2,4,big,med,acc
1239,vhigh,low,4,4,med,med,acc
1240,vhigh,med,2,more,small,high,unacc
1241,vhigh,med,5more,2,med,med,unacc
1242,low,high,2,2,big,high,unacc
1243,vhigh,vhigh,5more,more,med,high,unacc
1244,med,high,4,more,small,high,acc
1245,vhigh,vhigh,3,more,big,high,unacc
1246,high,med,5more,2,big,low,unacc
1247,high,vhigh,2,4,med,high,unacc
1248,vhigh,med,3,more,big,high,acc
1249,med,high,4,2,med,high,unacc
1250,med,med,5more,4,med,high,vgood
1251,high,high,4,2,small,low,unacc
1252,med,med,3,more,big,med,acc
1253,low,med,5more,4,big,high,vgood
1254,vhigh,med,5more,more,med,high,acc
1255,high,med,4,2,med,med,unacc
1256,med,vhigh,4,more,med,high,acc
1257,med,high,2,2,med,med,unacc
1258,high,vhigh,4,more,med,med,unacc
1259,med,high,2,more,med,med,unacc
1260,high,high,3,4,med,low,unacc
1261,med,med,2,more,big,high,vgood
1262,vhigh,low,5more,2,med,med,unacc
1263,low,med,2,2,med,high,unacc
1264,med,vhigh,2,2,small,low,unacc
1265,vhigh,med,4,more,small,med,unacc
1266,vhigh,high,3,more,small,low,unacc
1267,high,low,5more,2,med,high,unacc
1268,vhigh,vhigh,4,2,med,low,unacc
1269,high,med,2,2,small,med,unacc
1270,vhigh,low,4,2,small,low,unacc
1271,low,low,5more,4,med,med,good
1272,high,med,2,4,big,med,acc
1273,vhigh,low,3,4,big,med,acc
1274,low,low,3,4,big,low,unacc
1275,med,low,2,2,med,high,unacc
1276,low,med,2,4,small,low,unacc
1277,low,med,5more,more,small,med,acc
1278,low,med,4,4,big,low,unacc
1279,med,vhigh,3,2,med,low,unacc
1280,low,vhigh,4,more,big,low,unacc
1281,med,vhigh,4,4,med,med,acc
1282,high,vhigh,4,2,small,low,unacc
1283,med,vhigh,3,4,small,low,unacc
1284,low,med,5more,2,small,med,unacc
1285,high,med,2,2,big,med,unacc
1286,high,med,4,4,big,low,unacc
1287,vhigh,high,3,more,med,high,unacc
1288,vhigh,vhigh,4,4,big,med,unacc
1289,vhigh,high,3,4,big,low,unacc
1290,vhigh,vhigh,4,more,small,high,unacc
1291,vhigh,med,5more,4,small,low,unacc
1292,low,med,3,2,big,med,unacc
1293,low,high,5more,2,small,med,unacc
1294,med,high,3,more,med,low,unacc
1295,low,vhigh,5more,4,med,low,unacc
1296,vhigh,vhigh,5more,more,med,med,unacc
1297,med,vhigh,3,more,big,high,acc
1298,high,high,5more,2,big,med,unacc
1299,vhigh,low,5more,2,small,low,unacc
1300,high,vhigh,5more,more,med,low,unacc
1301,vhigh,low,3,2,big,high,unacc
1302,low,med,2,2,big,low,unacc
1303,vhigh,vhigh,3,2,med,med,unacc
1304,low,high,2,2,small,med,unacc
1305,low,vhigh,2,more,med,high,acc
1306,med,low,5more,more,small,high,good
1307,vhigh,low,4,4,med,low,unacc
1308,high,low,3,more,med,med,acc
1309,vhigh,vhigh,3,2,big,low,unacc
1310,high,vhigh,2,2,small,med,unacc
1311,low,low,2,2,med,low,unacc
1312,med,med,5more,more,small,med,acc
1313,low,vhigh,2,4,big,low,unacc
1314,low,high,3,more,big,low,unacc
1315,high,low,3,2,small,low,unacc
1316,high,vhigh,4,more,med,high,unacc
1317,med,high,2,2,med,low,unacc
1318,low,low,3,4,big,high,vgood
1319,med,high,4,2,med,med,unacc
1320,med,med,3,2,med,low,unacc
1321,low,vhigh,4,4,med,high,acc
1322,med,low,2,4,med,low,unacc
1323,vhigh,low,3,more,big,high,acc
1324,vhigh,high,2,2,small,high,unacc
1325,low,med,5more,4,med,low,unacc
1326,low,low,3,2,big,high,unacc
1327,med,high,2,2,med,high,unacc
1328,low,med,3,more,small,med,acc
1329,vhigh,med,2,2,big,med,unacc
1330,med,low,2,more,big,low,unacc
1331,high,low,4,4,med,low,unacc
1332,high,vhigh,2,4,small,low,unacc
1333,high,med,4,2,big,low,unacc
1334,low,high,2,more,big,low,unacc
1335,vhigh,high,3,4,med,high,unacc
1336,vhigh,high,2,more,small,high,unacc
1337,high,med,2,2,small,low,unacc
1338,low,vhigh,4,2,med,low,unacc
1339,vhigh,vhigh,3,4,med,low,unacc
1340,low,high,5more,4,big,low,unacc
1341,vhigh,high,3,more,small,med,unacc
1342,low,vhigh,5more,2,med,med,unacc
1343,high,med,2,4,big,low,unacc
1344,med,low,4,more,big,low,unacc
1345,vhigh,low,4,2,small,high,unacc
1346,vhigh,vhigh,2,4,med,high,unacc
1347,vhigh,high,4,4,big,high,unacc
1348,vhigh,vhigh,2,4,small,med,unacc
1349,high,vhigh,5more,more,small,high,unacc
1350,vhigh,high,5more,more,big,high,unacc
1351,vhigh,low,4,more,med,high,acc
1352,high,med,5more,2,small,low,unacc
1353,low,vhigh,4,2,med,high,unacc
1354,vhigh,low,4,more,big,high,acc
1355,low,vhigh,5more,2,big,med,unacc
1356,med,high,2,4,small,med,unacc
1357,vhigh,med,3,more,big,med,acc
1358,high,vhigh,4,2,med,high,unacc
1359,low,high,4,2,big,high,unacc
1360,med,vhigh,3,more,big,med,acc
1361,high,med,4,more,big,high,acc
1362,high,low,2,4,big,high,acc
1363,vhigh,vhigh,5more,4,med,med,unacc
1364,vhigh,high,2,4,big,med,unacc
1365,high,med,4,4,small,med,unacc
1366,med,high,4,more,small,low,unacc
1367,vhigh,vhigh,3,2,med,low,unacc
1368,med,vhigh,5more,more,big,high,acc
1369,high,high,3,more,med,med,acc
1370,vhigh,vhigh,5more,more,big,high,unacc
1371,high,high,4,4,med,high,acc
1372,low,vhigh,5more,4,big,med,acc
1373,vhigh,high,5more,more,small,low,unacc
1374,vhigh,low,3,4,big,low,unacc
1375,med,med,2,2,small,med,unacc
1376,high,high,4,2,big,med,unacc
1377,med,low,4,2,big,med,unacc
1378,high,vhigh,4,more,small,high,unacc
1379,low,high,2,more,big,med,acc
1380,low,high,4,2,small,med,unacc
1381,vhigh,vhigh,5more,2,med,med,unacc
1382,vhigh,low,3,2,big,med,unacc
1383,high,low,5more,4,med,high,acc
1384,med,vhigh,4,more,med,low,unacc
1385,med,med,5more,2,small,low,unacc
1386,low,low,4,more,big,med,good
1387,low,med,4,2,med,low,unacc
1388,med,low,5more,2,med,med,unacc
1389,high,low,2,more,small,high,unacc
1390,low,vhigh,4,4,small,high,acc
1391,vhigh,high,4,4,small,low,unacc
1392,low,vhigh,2,2,small,med,unacc
1393,med,vhigh,5more,more,med,low,unacc
1394,low,low,2,2,big,med,unacc
1395,high,vhigh,2,more,big,med,unacc
1396,med,low,3,4,med,high,good
1397,med,med,5more,more,big,low,unacc
1398,low,med,3,more,big,med,good
1399,med,med,2,more,big,low,unacc
1400,low,vhigh,5more,4,small,low,unacc
1401,vhigh,med,3,4,big,high,acc
1402,med,low,5more,4,big,med,good
1403,vhigh,low,2,2,small,med,unacc
1404,med,high,5more,4,small,high,acc
1405,med,med,2,4,med,high,acc
1406,low,low,2,more,small,med,unacc
1407,high,vhigh,3,more,small,med,unacc
1408,high,high,4,more,big,med,acc
1409,med,low,5more,2,med,low,unacc
1410,high,vhigh,2,2,med,low,unacc
1411,low,vhigh,2,more,big,med,acc
1412,vhigh,vhigh,3,2,small,low,unacc
1413,med,vhigh,5more,2,med,high,unacc
1414,low,med,2,more,small,high,unacc
